distribution,n,k,tolerance,quantile,label,lower_q,upper_q,truth_lower,truth_upper,estimate,in_bound,rank_error
zipf,100000,200,0.020000000000,0.100000000000,p10,0.080000000000,0.120000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,true,0.053450000000
zipf,100000,200,0.020000000000,0.250000000000,p25,0.230000000000,0.270000000000,1002197.533878647257,1002197.533878647257,1002197.533878647257,true,0.021040000000
zipf,100000,200,0.020000000000,0.500000000000,p50,0.480000000000,0.520000000000,1019777.804907825659,1028567.940422414802,1023074.105725796660,true,0.002390000000
zipf,100000,200,0.020000000000,0.750000000000,p75,0.730000000000,0.770000000000,1245025.027469173539,1386765.962641924154,1316444.878525210544,true,0.002970000000
zipf,100000,200,0.020000000000,0.900000000000,p90,0.880000000000,0.920000000000,2530582.346477841493,3700769.136857526377,3112928.824319374748,true,0.003030000000
zipf,100000,200,0.020000000000,1.000000000000,max,0.980000000000,1.000000000000,7507996.581613966264,9998901.233060676605,9335246.001709192991,true,0.004630000000
zipf,1000000,200,0.020000000000,0.000000000000,min,0.000000000000,0.020000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,true,0.153762000000
zipf,1000000,200,0.020000000000,0.100000000000,p10,0.080000000000,0.120000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,true,0.053762000000
zipf,1000000,200,0.020000000000,0.250000000000,p25,0.230000000000,0.270000000000,1002197.533878647257,1002197.533878647257,1002197.533878647257,true,0.020852000000
zipf,1000000,200,0.020000000000,0.500000000000,p50,0.480000000000,0.520000000000,1019777.804907825659,1028567.940422414802,1021975.338786472916,true,0.004761000000
zipf,1000000,200,0.020000000000,0.750000000000,p75,0.730000000000,0.770000000000,1242827.493590526283,1383469.661823953036,1291173.238920766627,true,0.003630000000
zipf,1000000,200,0.020000000000,0.900000000000,p90,0.880000000000,0.920000000000,2544866.316689048894,3683188.865828348324,2729459.162495421711,true,0.011599000000
zipf,1000000,200,0.020000000000,1.000000000000,max,0.980000000000,1.000000000000,7561836.161640824750,10000000.000000000000,8779269.930411428213,true,0.009071000000
zipf,5000000,200,0.020000000000,0.000000000000,min,0.000000000000,0.020000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,true,0.153396800000
zipf,5000000,200,0.020000000000,0.100000000000,p10,0.080000000000,0.120000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,true,0.053396800000
zipf,5000000,200,0.020000000000,0.250000000000,p25,0.230000000000,0.270000000000,1002197.533878647257,1002197.533878647257,1002197.533878647257,true,0.020801400000
zipf,5000000,200,0.020000000000,0.500000000000,p50,0.480000000000,0.520000000000,1019777.804907825659,1028567.940422414802,1023074.105725796660,true,0.000281200000
zipf,5000000,200,0.020000000000,0.750000000000,p75,0.730000000000,0.770000000000,1242827.493590526283,1385667.195702600293,1297765.840556708630,true,0.002056000000
zipf,5000000,200,0.020000000000,0.900000000000,p90,0.880000000000,0.920000000000,2541570.015871077776,3682090.098889024463,2916249.542180441786,true,0.003971400000
zipf,5000000,200,0.020000000000,1.000000000000,max,0.980000000000,1.000000000000,7557441.093883530237,10000000.000000000000,9591258.698571601883,true,0.002917400000
